indic_is,unit,sizen_r2,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 
E_AESBEU,PC_ENT,10_C10_33,NL	: 	: 	30 	: 	26 	: 	25 	: 	18 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,NO	: 	: 	14 	: 	12 	: 	14 	: 	21 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,PL	: 	: 	9 	: 	8 	: 	: u	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C10_33,PT	: 	: 	16 	: 	16 	: 	11 	: 	12 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,RO	: 	: 	2 	: 	: 	: 	: 	: 	2 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,RS	: 	: 	17 	: 	: 	: 	: 	: 	: 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,SE	: 	: 	22 	: 	: 	: 	: 	: 	21 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,SI	: 	: 	: 	: 	14 	: 	16 	: 	14 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,SK	: 	: 	16 	: 	17 	: 	20 	: 	11 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,UK	: 	: 	: 	: 	: 	: 	: 	: 	19 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,AT	: 	: 	: 	: 	: 	: 	: 	: 	44 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,BE	: 	: 	: 	: 	: 	: 	9 	: 	26 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,BG	: 	: 	6 	: 	8 	: 	5 	: 	5 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,CY	: 	: 	18 	: 	25 	: 	16 	: 	26 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,CZ	: 	: 	27 	: 	25 	: 	23 	: 	19 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,DE	: 	: 	: 	: 	17 	: 	18 	: 	18 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,DK	: 	: 	: 	: 	: 	: 	: 	: 	33 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,EA	: 	: 	: 	: 	19 	: 	16 	: 	15 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,EE	: 	: 	20 	: 	12 	: 	11 	: 	10 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,EL	: 	: 	10 	: 	8 	: 	10 	: 	9 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,ES	: 	: 	17 	: 	14 	: 	10 	: 	9 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,EU15	: 	: 	: 	: 	: 	: 	16 	: 	16 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,EU27	: 	: 	: 	: 	17 	: 	15 	: 	14 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,EU27_2019	: 	: 	: 	: 	17 	: 	15 	: 	14 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,EU28	: 	: 	: 	: 	17 	: 	15 	: 	14 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,FI	: 	: 	: 	: 	26 	: 	: 	: 	21 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,FR	: 	: 	: 	: 	: 	: 	11 	: 	13 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,HR	: 	: 	15 	: 	15 	: 	11 	: 	20 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,HU	: 	: 	13 	: 	13 	: 	11 	: 	11 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,IE	: 	: 	: 	: 	38 	: 	30 	: 	23 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,IT	: 	: 	28 	: 	22 	: 	: u	: 	11 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,LT	: 	: 	: 	: 	: 	: 	19 	: 	20 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,LU	: 	: 	35 	: 	30 	: 	39 	: 	41 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,LV	: 	: 	19 	: 	19 	: 	11 	: 	12 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,MK	: 	: 	: 	: 	3 	: 	5 	: 	7 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,MT	: 	: 	: 	: 	: 	: 	: 	: 	31 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,NL	: 	: 	26 	: 	24 	: 	21 	: 	17 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,NO	: 	: 	15 	: 	15 	: 	15 	: 	19 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,PL	: 	: 	8 	: 	7 	: 	7 	: 	6 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,PT	: 	: 	20 	: 	17 	: 	15 	: 	13 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,RO	: 	: 	2 	: 	: 	: 	: 	: 	6 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,RS	: 	: 	12 	: 	: 	: 	: 	: 	: 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,SE	: 	: 	21 	: 	: 	: 	: 	: 	19 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,SI	: 	: 	: 	: 	19 	: 	20 	: 	17 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,SK	: 	: 	15 	: 	17 	: 	18 	: 	12 	: 	: 
E_AESBEU,PC_ENT,10_C10_S951_XK,UK	: 	: 	: 	: 	: 	: 	: 	: 	15 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,AT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C13_15,BE	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C13_15,BG	: 	: 	4 	: 	4 	: 	1 	: 	1 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,CY	: 	: 	0 	: 	11 	: 	10 	: 	22 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,CZ	: 	: 	30 	: 	28 	: 	32 	: 	20 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,DE	: 	: 	: 	: 	30 	: 	29 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C13_15,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C13_15,EA	: 	: 	: 	: 	17 	: 	16 	: 	13 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,EE	: 	: 	10 	: 	7 	: 	4 	: 	4 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,EL	: 	: 	5 	: 	9 	: 	: u	: 	7 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,ES	: 	: 	: u	: 	: u	: 	: u	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C13_15,EU15	: 	: 	: 	: 	: 	: 	16 	: 	14 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,EU27	: 	: 	: 	: 	15 	: 	14 	: 	11 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,EU27_2019	: 	: 	: 	: 	15 	: 	14 	: 	11 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,EU28	: 	: 	: 	: 	15 	: 	14 	: 	12 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,FI	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C13_15,FR	: 	: 	: 	: 	: 	: 	19 	: 	17 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,HR	: 	: 	14 	: 	14 	: 	7 	: 	19 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,HU	: 	: 	7 	: 	10 	: 	11 	: 	7 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,IE	: 	: 	: 	: 	28 	: 	0 	: 	58 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,IT	: 	: 	22 	: 	16 	: 	: u	: 	8 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,LT	: 	: 	: 	: 	: 	: 	9 	: 	23 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,LU	: 	: 	: u	: 	: u	: 	: u	: 	: c	: 	: 
E_AESBEU,PC_ENT,10_C13_15,LV	: 	: 	16 	: 	14 	: 	6 	: 	9 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,MK	: 	: 	: 	: 	1 	: 	5 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C13_15,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C13_15,NL	: 	: 	39 	: 	22 	: 	28 	: 	32 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,NO	: 	: 	29 	: 	12 	: 	24 	: 	21 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,PL	: 	: 	10 	: 	8 	: 	: u	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C13_15,PT	: 	: 	16 	: 	13 	: 	10 	: 	13 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,RO	: 	: 	1 	: 	: 	: 	: 	: 	4 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,RS	: 	: 	14 	: 	: 	: 	: 	: 	: 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,SE	: 	: 	26 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C13_15,SI	: 	: 	: 	: 	15 	: 	23 	: 	20 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,SK	: 	: 	9 	: 	14 	: 	19 	: 	6 	: 	: 
E_AESBEU,PC_ENT,10_C13_15,UK	: 	: 	: 	: 	: 	: 	: 	: 	29 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,AT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C16_18,BE	: 	: 	: 	: 	: 	: 	5 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C16_18,BG	: 	: 	10 	: 	12 	: 	3 	: 	4 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,CY	: 	: 	19 	: 	16 	: 	13 	: 	22 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,CZ	: 	: 	24 	: 	21 	: 	19 	: 	18 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,DE	: 	: 	: 	: 	17 	: 	18 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C16_18,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C16_18,EA	: 	: 	: 	: 	17 	: 	15 	: 	13 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,EE	: 	: 	15 	: 	8 	: 	8 	: 	8 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,EL	: 	: 	6 	: 	13 	: 	: u	: 	17 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,ES	: 	: 	: u	: 	: u	: 	: u	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C16_18,EU15	: 	: 	: 	: 	: 	: 	15 	: 	14 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,EU27	: 	: 	: 	: 	15 	: 	14 	: 	13 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,EU27_2019	: 	: 	: 	: 	15 	: 	14 	: 	12 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,EU28	: 	: 	: 	: 	15 	: 	14 	: 	13 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,FI	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C16_18,FR	: 	: 	: 	: 	: 	: 	10 	: 	14 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,HR	: 	: 	10 	: 	18 	: 	15 	: 	18 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,HU	: 	: 	8 	: 	9 	: 	10 	: 	10 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,IE	: 	: 	: 	: 	43 	: 	35 	: 	29 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,IT	: 	: 	28 	: 	23 	: 	: u	: 	7 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,LT	: 	: 	: 	: 	: 	: 	15 	: 	18 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,LU	: 	: 	: u	: 	: u	: 	: u	: 	: c	: 	: 
E_AESBEU,PC_ENT,10_C16_18,LV	: 	: 	14 	: 	12 	: 	6 	: 	5 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,MK	: 	: 	: 	: 	1 	: 	4 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C16_18,MT	: 	: 	: 	: 	: 	: 	: 	: 	13 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,NL	: 	: 	23 	: 	26 	: 	23 	: 	9 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,NO	: 	: 	11 	: 	9 	: 	10 	: 	17 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,PL	: 	: 	7 	: 	6 	: 	: u	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C16_18,PT	: 	: 	19 	: 	21 	: 	9 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C16_18,RO	: 	: 	2 	: 	: 	: 	: 	: 	1 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,RS	: 	: 	15 	: 	: 	: 	: 	: 	: 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,SE	: 	: 	16 	: 	: 	: 	: 	: 	21 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,SI	: 	: 	: 	: 	8 	: 	10 	: 	15 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,SK	: 	: 	9 	: 	8 	: 	21 	: 	8 	: 	: 
E_AESBEU,PC_ENT,10_C16_18,UK	: 	: 	: 	: 	: 	: 	: 	: 	16 	: 	: 
E_AESBEU,PC_ENT,10_C19_23,AT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C19_23,BE	: 	: 	: 	: 	: 	: 	19 	: 	38 	: 	: 
E_AESBEU,PC_ENT,10_C19_23,BG	: 	: 	4 	: 	7 	: 	5 	: 	5 	: 	: 
E_AESBEU,PC_ENT,10_C19_23,CY	: 	: 	10 	: 	18 	: 	8 	: 	22 	: 	: 
E_AESBEU,PC_ENT,10_C19_23,CZ	: 	: 	36 	: 	30 	: 	34 	: 	24 	: 	: 
E_AESBEU,PC_ENT,10_C19_23,DE	: 	: 	: 	: 	24 	: 	26 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C19_23,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C19_23,EA	: 	: 	: 	: 	21 	: 	18 	: 	17 	: 	: 
E_AESBEU,PC_ENT,10_C19_23,EE	: 	: 	30 	: 	17 	: 	16 	: 	13 	: 	: 
E_AESBEU,PC_ENT,10_C19_23,EL	: 	: 	4 	: 	8 	: 	: u	: 	6 	: 	: 
E_AESBEU,PC_ENT,10_C19_23,ES	: 	: 	16 	: 	10 	: 	10 	: 	9 	: 	: 
E_AESBEU,PC_ENT,10_C19_23,EU15	: 	: 	: 	: 	: 	: 	18 	: 	19 	: 	: 
E_AESBEU,PC_ENT,10_C19_23,EU27	: 	: 	: 	: 	20 	: 	17 	: 	17 	: 	: 
E_AESBEU,PC_ENT,10_C19_23,EU27_2019	: 	: 	: 	: 	20 	: 	17 	: 	16 	: 	: 
E_AESBEU,PC_ENT,10_C19_23,EU28	: 	: 	: 	: 	20 	: 	17 	: 	17 	: 	: 
E_AESBEU,PC_ENT,10_C19_23,FI	: 	: 	: 	: 	27 	: 	: 	: 	22 	: 	: 
E_AESBEU,PC_ENT,10_C19_23,FR	: 	: 	: 	: 	: 	: 	18 	: 	17 	: 	: 
E_AESBEU,PC_ENT,10_C19_23,HR	: 	: 	14 	: 	12 	: 	13 	: 	33 	: 	: 
